property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,410 Teton Ct,Ithaca,NY,14850,600000,4,2.5,2340,0.8,1990,
Single Family Residential,10 Marcy Ct,Ithaca,NY,14850,578000,4,2.5,3768,0.7399908172635445,1998,
Single Family Residential,66 Gunderman Rd,Ithaca,NY,14850,280000,4,1.5,1664,1.7699954086317722,1967,
Single Family Residential,119 W Main St,Dryden,NY,13053,217000,4,2,1344,0.3,1962,
Townhouse,13 Penny Ln,Ithaca,NY,14850,185000,2,1,864,0.01999540863177227,1983,270
Single Family Residential,260 Sapsucker Woods Rd,Ithaca,NY,14850,180000,2,1,624,0.3399908172635445,1920,
Single Family Residential,3 Coventry Walk,Ithaca,NY,14850,540000,4,3.5,3583,0.46000918273645547,1989,
Multi-Family (2-4 Unit),202 Lake St,Ithaca,NY,14850,415000,,,1704,,1870,
Single Family Residential,7 Sharpsteen Rd,Groton,NY,13073,152000,2,2,980,1.6899908172635445,2011,
Single Family Residential,215 Snyder Hill Rd,Ithaca,NY,14850,318500,3,2,1433,0.8800045913682277,1956,
Single Family Residential,220 Fall Creek Dr,Ithaca,NY,14850,383000,3,2.5,2257,0.18000459136822775,1925,
Multi-Family (5+ Unit),626 Stewart Ave,Ithaca,NY,14850,385000,,,2972,,1900,
Single Family Residential,693 Shaffer Rd,Newfield,NY,14867,530000,3,2,2051,20,1840,
Single Family Residential,548 Shaffer Rd,Newfield,NY,14867,405000,3,2,1508,5,2007,
Single Family Residential,217 Pennsylvania Ave,Trumansburg,NY,14886,370000,3,2,2034,0.7,1973,
Single Family Residential,5351 Cold Springs Rd,Trumansburg,NY,14886,282000,3,1,960,1.2300045913682278,1991,
Single Family Residential,3015 Swamp College Rd,Trumansburg,NY,14886,330000,3,2,1288,1.0399908172635446,2019,
Mobile/Manufactured Home,382 Applegate Rd N,Ithaca,NY,14850,75000,2,,304,1.0600091827364555,1953,
Multi-Family (2-4 Unit),2 Montgomery St,Dryden,NY,13053,215000,5,2,2162,0.23999081726354454,1973,
Single Family Residential,308 S Main St,Groton,NY,13073,210000,3,1.5,1316,0.6699954086317723,1890,
Single Family Residential,101 Carpenter Ave,Groton,NY,13073,277500,4,2,2662,0.6,1968,
Single Family Residential,494 Davis Rd,Cortland,NY,13045,290000,3,2,2640,3.5600091827364553,1860,
Single Family Residential,102 Pleasant St,Groton,NY,13073,132000,5,2,2078,0.1169880624426079,1880,
Single Family Residential,213 Pleasant Valley Rd,Groton,NY,13073,790000,5,4.5,4270,40.28999081726354,2007,
