Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
08/15/2023,18,PM2.5,EAST SYRACUSE,36-067-1015,AQS,104,28,42.2,08/15/2002,08/15/2014
08/16/2023,29,Ozone,FULTON,36-075-0003,AQS,108,26,43.8,08/16/2001,08/16/2006
08/17/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,84,29,43.6,08/17/2009,08/17/2000
08/18/2023,32,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,21,39.4,08/18/2006,08/18/2007
08/19/2023,43,PM2.5,EAST SYRACUSE,36-067-1015,AQS,80,27,38.2,08/19/2001,08/19/2018
08/20/2023,55,PM2.5,EAST SYRACUSE,36-067-1015,AQS,93,17,36.4,08/20/2013,08/20/2007
08/21/2023,49,PM2.5,EAST SYRACUSE,36-067-1015,AQS,108,25,41.4,08/21/2003,08/21/2007
08/22/2023,30,PM2.5,EAST SYRACUSE,36-067-1015,AQS,93,23,34.2,08/22/2002,08/22/2007
08/23/2023,35,PM2.5,EAST SYRACUSE,36-067-1015,AQS,71,19,32.2,08/23/2001,08/23/2014
08/24/2023,34,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,18,33.2,08/24/2012,08/24/2019
08/25/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,25,34,08/25/2012,08/25/2019
08/26/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,76,23,34.8,08/26/2001,08/26/2010
08/27/2023,26,Ozone,EAST SYRACUSE,36-067-1015,AQS,62,17,36.4,08/27/2018,08/27/2015
08/28/2023,26,Ozone,FULTON,36-075-0003,AQS,64,23,40.6,08/28/2010,08/28/2014
08/29/2023,29,Ozone,FULTON,36-075-0003,AQS,108,20,37.2,08/29/2007,08/29/2011
